Region,Place Code,Place,ODS Code,GP Practice (ODS Code),Registered Patients,% of patients with a nomination,EPS Items,eRD Items,All Items,EPS Utilisation,eRD Utilisation (EPS Items),eRD Utilisation (All Items)
North East and Yorkshire,16C,Tees Valley,A83641,Parkgate Surgery (A83641),4704,74.0%,8759,2761,8764,99.9%,31.5%,31.5%
North East and Yorkshire,84H,County Durham,A83644,Annfield Plain Surgery (A83644),3517,82.0%,10471,3126,10603,98.8%,29.9%,29.5%
North East and Yorkshire,00L,Northumberland,A84002,The Rothbury Practice (A84002),6032,87.9%,8976,651,9096,98.7%,7.3%,7.2%
North East and Yorkshire,00L,Northumberland,A84005,Bedlingtonshire Med.Group (A84005),12181,96.1%,25064,5756,25279,99.1%,23.0%,22.8%
North East and Yorkshire,00L,Northumberland,A84006,Alnwick Medical Group (A84006),18844,71.9%,40275,21974,45691,88.1%,54.6%,48.1%
North East and Yorkshire,00L,Northumberland,A84007,Ponteland Medical Group (A84007),10728,79.9%,23842,11875,23942,99.6%,49.8%,49.6%
North East and Yorkshire,00L,Northumberland,A84008,Belford Medical Practice (A84008),4509,52.9%,7898,1895,11949,66.1%,24.0%,15.9%
North East and Yorkshire,00L,Northumberland,A84009,Railway Medical Group (A84009),26819,79.1%,53426,18307,55651,96.0%,34.3%,32.9%
North East and Yorkshire,00L,Northumberland,A84011,White Medical Group (A84011),8106,65.0%,15435,6863,18075,85.4%,44.5%,38.0%
North East and Yorkshire,00L,Northumberland,A84013,The Gables Medical Group (A84013),6277,81.4%,12565,2301,13425,93.6%,18.3%,17.1%
North East and Yorkshire,00L,Northumberland,A84014,Marine Medical Group (A84014),12953,84.0%,22852,6024,22898,99.8%,26.4%,26.3%
North East and Yorkshire,00L,Northumberland,A84016,Prudhoe Medical Group (A84016),6943,80.6%,11590,5086,11819,98.1%,43.9%,43.0%
North East and Yorkshire,00L,Northumberland,A84018,Corbridge Health Centre (A84018),7168,56.1%,10905,3001,15384,70.9%,27.5%,19.5%
North East and Yorkshire,00L,Northumberland,A84020,Guidepost Medical Group (A84020),7997,81.3%,18246,4992,18432,99.0%,27.4%,27.1%
North East and Yorkshire,00L,Northumberland,A84022,Coquet Medical Group (A84022),11923,86.9%,30124,9787,30197,99.8%,32.5%,32.4%
North East and Yorkshire,00L,Northumberland,A84024,Burn Brae Medical Group (A84024),10228,81.6%,18425,6504,19633,93.8%,35.3%,33.1%
North East and Yorkshire,00L,Northumberland,A84025,Cramlington Medical Group (A84025),5041,84.7%,12871,3702,12879,99.9%,28.8%,28.7%
North East and Yorkshire,00L,Northumberland,A84026,Well Close Medical Group (A84026),8882,84.7%,18723,5207,22120,84.6%,27.8%,23.5%
North East and Yorkshire,00L,Northumberland,A84027,Bellingham Practice (A84027),3440,99.7%,10487,7703,10549,99.4%,73.5%,73.0%
North East and Yorkshire,00L,Northumberland,A84028,Seaton Park Medical Group (A84028),18969,83.6%,47696,13876,47754,99.9%,29.1%,29.1%
North East and Yorkshire,00L,Northumberland,A84029,Northumberland Health (A84029),4499,22.6%,0,0,782,0.0%,,0.0%
North East and Yorkshire,00L,Northumberland,A84030,Village Medical Group (A84030),9908,83.1%,19628,4978,19789,99.2%,25.4%,25.2%
North East and Yorkshire,00L,Northumberland,A84031,Greystoke Surgery (A84031),10280,80.3%,14488,4830,14651,98.9%,33.3%,33.0%
North East and Yorkshire,00L,Northumberland,A84032,Cheviot Medical Group (A84032),,,10,10,11,90.9%,100.0%,90.9%
North East and Yorkshire,00L,Northumberland,A84033,The Sele Medical Practice (A84033),5771,75.8%,10235,3152,11075,92.4%,30.8%,28.5%
North East and Yorkshire,00L,Northumberland,A84034,Haltwhistle Medical Group (A84034),5596,90.7%,14948,8281,15026,99.5%,55.4%,55.1%
North East and Yorkshire,00L,Northumberland,A84035,Riversdale Surgery (A84035),5980,78.3%,13775,3017,13919,99.0%,21.9%,21.7%
North East and Yorkshire,00L,Northumberland,A84036,Valens Medical Partnership (A84036),51797,81.9%,120966,39519,121471,99.6%,32.7%,32.5%
North East and Yorkshire,00L,Northumberland,A84037,Netherfield House (A84037),6015,84.6%,12200,3296,12313,99.1%,27.0%,26.8%
North East and Yorkshire,00L,Northumberland,A84038,Forum Family Practice (A84038),7540,89.2%,17002,6374,17006,100.0%,37.5%,37.5%
North East and Yorkshire,00L,Northumberland,A84039,Gas House Lane Surgery (A84039),6252,55.1%,10117,2033,12543,80.7%,20.1%,16.2%
North East and Yorkshire,00L,Northumberland,A84040,Humshaugh & Wark Med Grp (A84040),3639,33.4%,2065,628,9648,21.4%,30.4%,6.5%
North East and Yorkshire,00L,Northumberland,A84042,Scots Gap Medical Group (A84042),2058,24.8%,1433,1147,4367,32.8%,80.0%,26.3%
North East and Yorkshire,00L,Northumberland,A84044,Union Brae & Norham Prac (A84044),7202,68.1%,12826,2392,17338,74.0%,18.6%,13.8%
North East and Yorkshire,00L,Northumberland,A84045,Haydon Bridge & Allendale Medical Pract (A84045),5392,84.1%,13361,7256,13639,98.0%,54.3%,53.2%
North East and Yorkshire,00L,Northumberland,A84047,Branch End Surgery (A84047),5371,69.7%,9341,5636,10617,88.0%,60.3%,53.1%
North East and Yorkshire,00L,Northumberland,A84604,Wooler Health (A84604),4743,43.4%,6943,1050,11788,58.9%,15.1%,8.9%
North East and Yorkshire,00L,Northumberland,A84614,The Adderlane Surgery (A84614),2013,77.2%,3015,80,3424,88.1%,2.7%,2.3%
North East and Yorkshire,00L,Northumberland,A84619,Elsdon Avenue Surgery (A84619),4049,79.7%,7871,3557,7929,99.3%,45.2%,44.9%
North East and Yorkshire,13T,Newcastle Gateshead,A85001,Fell Tower Medical Centre (A85001),7458,80.0%,15584,143,15693,99.3%,0.9%,0.9%
North East and Yorkshire,13T,Newcastle Gateshead,A85002,Bensham Family Practice (A85002),3947,77.5%,8637,4035,8716,99.1%,46.7%,46.3%
North East and Yorkshire,13T,Newcastle Gateshead,A85003,Rowlands Gill Medical Centre (A85003),,,6489,616,6593,98.4%,9.5%,9.3%
North East and Yorkshire,13T,Newcastle Gateshead,A85004,Longrigg Medical Centre (A85004),10485,82.5%,25424,10722,25602,99.3%,42.2%,41.9%
North East and Yorkshire,13T,Newcastle Gateshead,A85005,Oxford Tce & Rawling Rd Medical Group (A85005),16399,75.5%,37633,17486,38625,97.4%,46.5%,45.3%
North East and Yorkshire,13T,Newcastle Gateshead,A85006,Glenpark Medical Centre (A85006),9100,80.0%,18872,7700,19260,98.0%,40.8%,40.0%
North East and Yorkshire,13T,Newcastle Gateshead,A85007,Fell Cottage Surgery (A85007),8242,82.6%,14823,4586,14875,99.7%,30.9%,30.8%
North East and Yorkshire,13T,Newcastle Gateshead,A85008,Birtley Medical Group (A85008),15724,98.2%,38383,16362,38873,98.7%,42.6%,42.1%
North East and Yorkshire,13T,Newcastle Gateshead,A85009,Crowhall Medical Centre (A85009),6143,79.0%,14477,6877,14682,98.6%,47.5%,46.8%
North East and Yorkshire,13T,Newcastle Gateshead,A85010,Chainbridge Medical Partnership (A85010),11270,79.9%,22240,8249,22770,97.7%,37.1%,36.2%
North East and Yorkshire,13T,Newcastle Gateshead,A85011,St. Albans Medical Group (A85011),7286,98.8%,21425,8649,21452,99.9%,40.4%,40.3%
North East and Yorkshire,13T,Newcastle Gateshead,A85012,Metro Interchange Surgery (A85012),3226,81.6%,10923,3767,11111,98.3%,34.5%,33.9%
North East and Yorkshire,13T,Newcastle Gateshead,A85013,Millennium Family Practice (A85013),3637,67.1%,8101,2885,8635,93.8%,35.6%,33.4%
North East and Yorkshire,13T,Newcastle Gateshead,A85014,Crawcrook Medical Centre (A85014),20346,80.9%,30899,5847,31371,98.5%,18.9%,18.6%
North East and Yorkshire,13T,Newcastle Gateshead,A85016,Wrekenton Medical Group (A85016),11334,80.9%,30853,12435,31284,98.6%,40.3%,39.7%
North East and Yorkshire,13T,Newcastle Gateshead,A85017,Bewick Road Surgery (A85017),7344,81.2%,12200,6171,12574,97.0%,50.6%,49.1%
North East and Yorkshire,13T,Newcastle Gateshead,A85018,Oldwell Surgery (A85018),4791,80.9%,11891,4743,12015,99.0%,39.9%,39.5%
North East and Yorkshire,13T,Newcastle Gateshead,A85019,Central Gateshead Medical Group (A85019),10499,70.3%,16731,3281,17331,96.5%,19.6%,18.9%
North East and Yorkshire,13T,Newcastle Gateshead,A85020,Whickham Cottage Medical Centre (A85020),15612,84.8%,32812,13083,33588,97.7%,39.9%,39.0%
North East and Yorkshire,13T,Newcastle Gateshead,A85021,Second Street Surgery (A85021),4125,63.9%,5150,2087,5209,98.9%,40.5%,40.1%
North East and Yorkshire,13T,Newcastle Gateshead,A85023,Teams Medical Practice (A85023),5657,82.1%,14235,8767,14409,98.8%,61.6%,60.8%
North East and Yorkshire,13T,Newcastle Gateshead,A85024,Chopwell Primary Healthcare Centre (A85024),2497,69.8%,7128,4320,7747,92.0%,60.6%,55.8%
North East and Yorkshire,13T,Newcastle Gateshead,A85026,Beacon View Medical Centre (A85026),5104,83.5%,10808,3670,10947,98.7%,34.0%,33.5%
North East and Yorkshire,13T,Newcastle Gateshead,A85611,Pelaw Medical Practice (A85611),5464,79.8%,11631,5220,11808,98.5%,44.9%,44.2%
North East and Yorkshire,13T,Newcastle Gateshead,A85614,The Bridges Medical Practice (A85614),6528,66.0%,8900,2414,8925,99.7%,27.1%,27.0%
North East and Yorkshire,13T,Newcastle Gateshead,A85616,Hollyhurst Medical Centre (A85616),4578,81.3%,11260,4642,11385,98.9%,41.2%,40.8%
North East and Yorkshire,13T,Newcastle Gateshead,A85617,Sunniside Surgery (A85617),3725,89.0%,8179,4381,8388,97.5%,53.6%,52.2%
North East and Yorkshire,13T,Newcastle Gateshead,A85620,Grange Road Medical Practice (A85620),,,6264,472,6350,98.6%,7.5%,7.4%
North East and Yorkshire,13T,Newcastle Gateshead,A86003,Saville Medical Group (A86003),41095,51.2%,45246,18612,45502,99.4%,41.1%,40.9%
North East and Yorkshire,13T,Newcastle Gateshead,A86004,Prospect Medical Centre (A86004),15400,68.4%,23143,6619,23280,99.4%,28.6%,28.4%
North East and Yorkshire,99C,North Tyneside,A86005,West Farm Surgery (A86005),5962,82.6%,15107,6594,15122,99.9%,43.6%,43.6%
North East and Yorkshire,13T,Newcastle Gateshead,A86006,Roseworth Surgery (A86006),5529,85.3%,10539,4059,10548,99.9%,38.5%,38.5%
North East and Yorkshire,13T,Newcastle Gateshead,A86007,Avenue Medical Practice (A86007),2817,66.0%,2604,950,2626,99.2%,36.5%,36.2%
North East and Yorkshire,13T,Newcastle Gateshead,A86008,Park Medical Group (A86008),13132,76.6%,22579,8447,22847,98.8%,37.4%,37.0%
North East and Yorkshire,13T,Newcastle Gateshead,A86010,Biddlestone Health Group (A86010),10069,78.7%,14285,4342,14418,99.1%,30.4%,30.1%
North East and Yorkshire,13T,Newcastle Gateshead,A86011,Walker Medical Group (A86011),11085,80.6%,34045,27647,34220,99.5%,81.2%,80.8%
North East and Yorkshire,13T,Newcastle Gateshead,A86012,West Road Medical Centre (A86012),10759,70.7%,18301,8796,18342,99.8%,48.1%,48.0%
North East and Yorkshire,13T,Newcastle Gateshead,A86013,Denton Park Medical Group (A86013),7399,78.1%,19952,7428,20516,97.3%,37.2%,36.2%
North East and Yorkshire,99C,North Tyneside,A86016,Lane End Surgery (A86016),9728,82.7%,15719,6306,15843,99.2%,40.1%,39.8%
North East and Yorkshire,13T,Newcastle Gateshead,A86017,Cruddas Park Surgery (A86017),10853,73.5%,29292,12800,29663,98.7%,43.7%,43.2%
North East and Yorkshire,13T,Newcastle Gateshead,A86018,The Grove Medical Group (A86018),12814,80.0%,19871,6601,19909,99.8%,33.2%,33.2%
North East and Yorkshire,13T,Newcastle Gateshead,A86020,The Surgery-Osborne Road (A86020),13487,73.8%,16590,6056,16618,99.8%,36.5%,36.4%
North East and Yorkshire,13T,Newcastle Gateshead,A86021,Holmside Medical Group (A86021),9737,76.7%,26658,11213,26882,99.2%,42.1%,41.7%
North East and Yorkshire,13T,Newcastle Gateshead,A86022,Parkway Medical Group (A86022),8541,84.3%,17843,5367,18316,97.4%,30.1%,29.3%
North East and Yorkshire,13T,Newcastle Gateshead,A86023,Benfield Park Medical Group (A86023),9313,77.3%,21462,9005,21542,99.6%,42.0%,41.8%
North East and Yorkshire,13T,Newcastle Gateshead,A86024,Heaton Road Surgery (A86024),7568,75.5%,16156,8884,16305,99.1%,55.0%,54.5%
North East and Yorkshire,13T,Newcastle Gateshead,A86025,Westerhope Medical Group (A86025),14409,75.5%,33305,12596,33714,98.8%,37.8%,37.4%
North East and Yorkshire,13T,Newcastle Gateshead,A86026,Throckley Primary Care Centre (A86026),6957,84.9%,19335,8528,19379,99.8%,44.1%,44.0%
North East and Yorkshire,13T,Newcastle Gateshead,A86027,Newcastle Medical Centre (A86027),19499,34.1%,4111,1220,4231,97.2%,29.7%,28.8%
North East and Yorkshire,13T,Newcastle Gateshead,A86028,Regent Medical Centre (A86028),7179,76.4%,11615,4114,11706,99.2%,35.4%,35.1%
North East and Yorkshire,13T,Newcastle Gateshead,A86029,Thornfield Medical Group (A86029),20095,63.6%,44575,28205,44578,100.0%,63.3%,63.3%
North East and Yorkshire,13T,Newcastle Gateshead,A86030,Betts Avenue Medical Group (A86030),11456,98.2%,29719,10391,29758,99.9%,35.0%,34.9%
North East and Yorkshire,13T,Newcastle Gateshead,A86031,Fenham Hall Surgery (A86031),10264,73.9%,16726,6365,17815,93.9%,38.1%,35.7%
North East and Yorkshire,13T,Newcastle Gateshead,A86033,Brunton Park (A86033),7065,81.4%,7472,2813,7515,99.4%,37.6%,37.4%
North East and Yorkshire,13T,Newcastle Gateshead,A86036,Gosforth Memorial Med.Ctr (A86036),11046,74.3%,17638,3113,17759,99.3%,17.6%,17.5%
North East and Yorkshire,13T,Newcastle Gateshead,A86037,Elswick Family Practice (A86037),7478,71.1%,17517,7153,17962,97.5%,40.8%,39.8%
North East and Yorkshire,13T,Newcastle Gateshead,A86038,Newburn Surgery (A86038),5822,86.3%,16743,8905,16751,100.0%,53.2%,53.2%
North East and Yorkshire,13T,Newcastle Gateshead,A86040,St. Anthony'S Health Centre (A86040),6637,77.4%,18138,9332,18535,97.9%,51.4%,50.3%
North East and Yorkshire,99C,North Tyneside,A86041,Swarland Avenue Surgery (A86041),6611,74.2%,11979,6668,12250,97.8%,55.7%,54.4%
North East and Yorkshire,13T,Newcastle Gateshead,A86601,Denton Turret Medical Centre (A86601),8809,83.0%,21594,13137,21801,99.1%,60.8%,60.3%
North East and Yorkshire,99C,North Tyneside,A87002,Spring Terrace Health Centre (A87002),5667,82.2%,16014,4142,16033,99.9%,25.9%,25.8%
North East and Yorkshire,99C,North Tyneside,A87003,Portugal Place Health Ctr (A87003),,,26,0,1,2600.0%,0.0%,0.0%
North East and Yorkshire,99C,North Tyneside,A87004,Collingwood Health Group (A87004),24536,79.4%,48274,14627,50016,96.5%,30.3%,29.2%
North East and Yorkshire,99C,North Tyneside,A87005,Whitley Bay Health Centre (A87005),12817,84.4%,21509,7520,21871,98.3%,35.0%,34.4%
North East and Yorkshire,99C,North Tyneside,A87006,49 Marine Avenue Surgery (A87006),5826,76.7%,11692,3527,11732,99.7%,30.2%,30.1%
North East and Yorkshire,99C,North Tyneside,A87007,Forest Hall Medical Group (A87007),18640,84.6%,38218,17442,38237,100.0%,45.6%,45.6%
North East and Yorkshire,99C,North Tyneside,A87008,Marine Avenue Medical Ctr (A87008),8272,81.0%,13257,4503,13393,99.0%,34.0%,33.6%
North East and Yorkshire,99C,North Tyneside,A87009,Priory Medical Group (A87009),15640,81.4%,29839,10141,30024,99.4%,34.0%,33.8%
North East and Yorkshire,99C,North Tyneside,A87011,Beaumont Park Surgery (A87011),6631,78.5%,11588,3090,11596,99.9%,26.7%,26.6%
North East and Yorkshire,99C,North Tyneside,A87012,Wideopen Medical Centre (A87012),7642,82.5%,19677,7806,19781,99.5%,39.7%,39.5%
North East and Yorkshire,99C,North Tyneside,A87013,Bewicke Medical Centre (A87013),9333,82.6%,20181,10173,20373,99.1%,50.4%,49.9%
North East and Yorkshire,99C,North Tyneside,A87016,The Village Green Surgery (A87016),12063,84.5%,26783,9314,27290,98.1%,34.8%,34.1%
North East and Yorkshire,99C,North Tyneside,A87017,Woodlands Park Health Ctr (A87017),5989,85.1%,16404,6617,16434,99.8%,40.3%,40.3%
North East and Yorkshire,99C,North Tyneside,A87019,Nelson Medical Group (A87019),5060,77.1%,10287,2942,10436,98.6%,28.6%,28.2%
North East and Yorkshire,99C,North Tyneside,A87020,Monkseaton Medical Centre (A87020),8932,81.5%,14141,5090,14192,99.6%,36.0%,35.9%
North East and Yorkshire,99C,North Tyneside,A87022,Northumberland Park Medical Group (A87022),9171,82.7%,17019,8338,17076,99.7%,49.0%,48.8%
North East and Yorkshire,99C,North Tyneside,A87023,Bridge Medical (A87023),4880,98.2%,12667,7048,12694,99.8%,55.6%,55.5%
North East and Yorkshire,99C,North Tyneside,A87029,Hadrian Health Centre (A87029),20171,80.8%,46003,13810,46187,99.6%,30.0%,29.9%
North East and Yorkshire,99C,North Tyneside,A87030,Redburn Park Medical Centre (A87030),5810,81.2%,13461,4949,13538,99.4%,36.8%,36.6%
North East and Yorkshire,99C,North Tyneside,A87600,Park Parade Practice (A87600),4857,80.3%,9006,2953,9016,99.9%,32.8%,32.8%
North East and Yorkshire,99C,North Tyneside,A87612,Wellspring Medical Pract. (A87612),6219,83.8%,16336,6201,16336,100.0%,38.0%,38.0%
North East and Yorkshire,99C,North Tyneside,A87615,Mallard Medical Practice (A87615),4989,83.5%,8926,3681,9183,97.2%,41.2%,40.1%
North East and Yorkshire,00N,South Tyneside,A88001,Victoria Medical Centre (A88001),3658,74.4%,7927,2410,8022,98.8%,30.4%,30.0%
North East and Yorkshire,00N,South Tyneside,A88002,Farnham Medical Ctr. (A88002),17214,98.1%,37184,26031,37399,99.4%,70.0%,69.6%
North East and Yorkshire,00N,South Tyneside,A88003,Marsden Rd. Health Centre (A88003),14248,77.8%,27700,10485,28756,96.3%,37.9%,36.5%
North East and Yorkshire,00N,South Tyneside,A88004,Mayfield Medical Group (A88004),9236,98.4%,18606,5478,18883,98.5%,29.4%,29.0%
North East and Yorkshire,00N,South Tyneside,A88005,Wenlock Road Surgery (A88005),4531,81.8%,11714,4161,11734,99.8%,35.5%,35.5%
North East and Yorkshire,00N,South Tyneside,A88006,Talbot Medical Centre (A88006),8008,81.0%,18496,6894,18691,99.0%,37.3%,36.9%
North East and Yorkshire,00N,South Tyneside,A88007,Wawn Street Surgery (A88007),7873,67.4%,14188,5907,14522,97.7%,41.6%,40.7%
North East and Yorkshire,00N,South Tyneside,A88008,Trinity Medical Centre (A88008),6516,84.4%,14439,5479,14464,99.8%,37.9%,37.9%
North East and Yorkshire,00N,South Tyneside,A88009,Dr Thorniley-Walker & Partners (A88009),6267,79.4%,11669,3445,11696,99.8%,29.5%,29.5%
North East and Yorkshire,00N,South Tyneside,A88010,Albert Road Surgery (A88010),3022,83.0%,11835,7855,11874,99.7%,66.4%,66.2%
North East and Yorkshire,00N,South Tyneside,A88012,Ellison View Surgery (A88012),6285,79.4%,14860,3695,15095,98.4%,24.9%,24.5%
North East and Yorkshire,00N,South Tyneside,A88013,Central Surgery (A88013),19137,81.0%,42439,20806,42546,99.7%,49.0%,48.9%
North East and Yorkshire,00N,South Tyneside,A88014,West View Surgery (A88014),2855,68.4%,5635,1867,5650,99.7%,33.1%,33.0%
North East and Yorkshire,00N,South Tyneside,A88015,St George & Riverside Medical Practice (A88015),7111,78.5%,18387,6684,18497,99.4%,36.4%,36.1%
North East and Yorkshire,00N,South Tyneside,A88016,Colliery Court Medical Group (A88016),8254,83.1%,16714,5844,16894,98.9%,35.0%,34.6%
North East and Yorkshire,00N,South Tyneside,A88022,The Glen Medical Group (A88022),10863,82.2%,20933,6861,21012,99.6%,32.8%,32.7%
North East and Yorkshire,00N,South Tyneside,A88023,Whitburn Surgery (A88023),5342,83.5%,13613,5184,13728,99.2%,38.1%,37.8%
North East and Yorkshire,00N,South Tyneside,A88025,The G.P.Suite (A88025),4677,82.9%,9549,5992,9553,100.0%,62.8%,62.7%
North East and Yorkshire,00N,South Tyneside,A88601,Imeary Street Practice (A88601),4086,83.7%,7551,3740,7578,99.6%,49.5%,49.4%
North East and Yorkshire,00N,South Tyneside,A88608,Ravensworth Surgery (A88608),5847,79.0%,12521,6295,12614,99.3%,50.3%,49.9%
North East and Yorkshire,00N,South Tyneside,A88613,East Wing Practice (A88613),4092,84.9%,10632,3383,10663,99.7%,31.8%,31.7%
North East and Yorkshire,00P,Sunderland,A89001,Deerness Park Medical Group (A89001),13410,77.3%,37015,16957,37256,99.4%,45.8%,45.5%
North East and Yorkshire,00P,Sunderland,A89002,Riverview Surgery (A89002),7172,66.6%,18652,8103,18979,98.3%,43.4%,42.7%
North East and Yorkshire,00P,Sunderland,A89004,Hetton Group Practice (A89004),11629,79.4%,36870,20600,37260,99.0%,55.9%,55.3%
North East and Yorkshire,00P,Sunderland,A89005,Villette Surgery (A89005),5515,82.0%,14296,6926,14332,99.7%,48.4%,48.3%
North East and Yorkshire,00P,Sunderland,A89006,Wearside Medical Practice - Pallion (A89006),8255,70.3%,17306,6404,17611,98.3%,37.0%,36.4%
North East and Yorkshire,00P,Sunderland,A89007,Pallion Family Practice (A89007),10322,74.3%,20260,7952,20827,97.3%,39.2%,38.2%
North East and Yorkshire,00P,Sunderland,A89008,Red House Medical Centre (A89008),5267,78.5%,15169,5912,15461,98.1%,39.0%,38.2%
North East and Yorkshire,00P,Sunderland,A89009,Herrington Medical Centre (A89009),9118,78.3%,16139,4713,16478,97.9%,29.2%,28.6%
